strDrink,strAlcoholic,strCategory,strGlass,fullString,strInstructions
Amaretto Sweet & Sour,Alcoholic,Punch / Party Drink,Margarita/Coupette glass,Amaretto Sweet and sour Midori melon liqueur Pineapple juice           ,"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner."
Amaretto Tea,Alcoholic,Ordinary Drink,Pousse cafe glass,Tea Amaretto Whipped cream            ,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve."
Americano,Alcoholic,Ordinary Drink,Collins glass,Campari Sweet Vermouth Lemon peel Orange peel           ,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice."
Angel Face,Alcoholic,Ordinary Drink,Cocktail glass,Apricot brandy Apple brandy Gin            ,Shake all ingredients with ice and strain contents into a cocktail glass.
Angelica Liqueur,Alcoholic,Homemade Liqueur,Collins Glass,Angelica root Almond Allspice Cinnamon Anise Coriander Marjoram leaves Vodka Sugar Water Food coloring Food coloring   ,"Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month."
Apello,Non alcoholic,Other/Unknown,Collins Glass,Orange juice Grapefruit juice Apple juice Maraschino cherry           ,Stirr. Grnish with maraschino cherry.
Apple Berry Smoothie,Non alcoholic,Other/Unknown,Highball Glass,Berries Apple             ,Throw everything into a blender and liquify.
Apple Cider Punch #1,Optional alcohol,Punch / Party Drink,Collins Glass,Apple cider Brown sugar Lemonade Orange juice Cloves Allspice Nutmeg Cinnamon       ,"If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice."
Apple Grande,Alcoholic,Punch / Party Drink,Punch Bowl,Tequila Apple cider             ,Chill both ingredients!! Mix in a tumbler and enjoy!
Apple Karate,Non alcoholic,Cocktail,Highball Glass,Apple juice Carrot             ,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Apple Pie with A Crust,Alcoholic,Other/Unknown,Collins Glass,Apple juice Malibu rum Cinnamon            ,Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.
Apple Slammer,Alcoholic,Shot,Shot glass,7-Up Apple schnapps             ,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly."
Applecar,Alcoholic,Ordinary Drink,Cocktail glass,Applejack Triple sec Lemon juice            ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Applejack,Alcoholic,Cocktail,Cocktail glass,Jack Daniels Midori melon liqueur Sour mix            ,"Add all ingredients into mixing glass, chill and strain into cocktail glass"
Apricot Lady,Alcoholic,Ordinary Drink,Old-fashioned glass,Light rum Apricot brandy Triple sec Lemon juice Egg white Orange         ,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice."
Apricot punch,Alcoholic,Punch / Party Drink,Punch bowl,Apricot brandy Champagne Vodka 7-Up Orange juice          ,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.
Archbishop,Alcoholic,Ordinary Drink,Old-fashioned glass,Gin Wine Benedictine Lime           ,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well."
Arctic Fish,Alcoholic,Punch / Party Drink,Beer pilsner,Vodka Grape soda Orange juice Ice Candy          ,"Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled."
Arctic Mouthwash,Alcoholic,Punch / Party Drink,Cocktail glass,Maui Mountain Dew Ice            ,Blend all ingredients in a blender on high until ice is finely crushed. It should be of a slushy consistency. Pour immediately and serve.
Arise My Love,Alcoholic,Ordinary Drink,Champagne flute,Champagne Green Creme de Menthe             ,Put creme de menthe into a champagne flute. Fill with chilled champagne and serve.
Arizona Antifreeze,Alcoholic,Shot,Shot glass,Vodka Midori melon liqueur Sweet and sour            ,Pour all ingredients into shot glass and slam !!!!
Arizona Stingers,Alcoholic,Cocktail,Hurricane glass,Absolut Vodka Iced tea             ,Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!
Arizona Twister,Alcoholic,Cocktail,Hurricane glass,Vodka Malibu rum Gold tequila Orange juice Pineapple juice Cream of coconut Grenadine Ice Pineapple      ,"Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge."
Army special,Alcoholic,Cocktail,Cocktail glass,Vodka Gin Lime juice cordial Ice           ,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw."
Arthur Tompkins,Alcoholic,Ordinary Drink,Whiskey sour glass,Gin Grand Marnier Lemon juice Lemon peel           ,"In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist."
Artillery,Alcoholic,Ordinary Drink,Cocktail glass,Sweet Vermouth Gin Bitters            ,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
Artillery Punch,Alcoholic,Punch / Party Drink,Punch bowl,Tea Rye whiskey Red wine Rum Brandy Benedictine Orange juice Lemon juice       ,"Combine all the ingredients in a large punch bowl with a block of ice. If found too dry, sugar syrup may be added. Decorate with twists of lemon peel."
Atlantic Sun,Alcoholic,Ordinary Drink,Collins Glass,Vodka Southern Comfort Passion fruit syrup Sweet and sour Club soda          ,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange."
Atomic Lokade,Alcoholic,Ordinary Drink,Collins Glass,Lemonade Vodka Blue Curacao Triple sec Sugar Ice         ,"In a shaker, place lemonade, vodka, blue Curacao, and triple sec together. Shake with ice and strain into glass. Add sugar to taste"
Auburn Headbanger,Alcoholic,Shot,Shot glass,Jägermeister Goldschlager             ,Mix in spread glass over ice. Strain and pour in shot glass. Sit down before shotting. ENJOY!!
Autodafé,Alcoholic,Ordinary Drink,Highball glass,Vodka Lime juice Soda water            ,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.
Avalanche,Alcoholic,Milk / Float / Shake,Highball glass,Crown Royal Kahlua Cream            ,"Mix in highball glass over ice, shake well."
Avalon,Alcoholic,Ordinary Drink,Highball glass,Vodka Pisang Ambon Apple juice Lemon juice Lemonade          ,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition."
Aviation,Alcoholic,Cocktail,Cocktail glass,Gin lemon juice maraschino liqueur            ,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.
Aztec Punch,Alcoholic,Punch / Party Drink,Punch bowl,Lemonade Vodka Rum Ginger ale           ,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it."
B-52,Alcoholic,Shot,Shot glass,Bailey's irish cream Grand Marnier Kahlua            ,Layer ingredients into a shot glass. Serve with a stirrer.
B-53,Alcoholic,Shot,Collins Glass,Kahlua Sambuca Grand Marnier            ,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52"
Baby Eskimo,Alcoholic,Milk / Float / Shake,Collins Glass,Kahlua Milk Vanilla ice-cream            ,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink."
Baby Guinness,Alcoholic,Shot,Shot glass,Kahlua Bailey's irish cream             ,"Pour Kahlua, almost filling shot glass. Then, carefully pour Baileys, using wall of shot glass. This will give the ""Guinness"" its ""head""."
Bacardi Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Light rum Lime juice Sugar syrup Grenadine           ,Shake together with ice. Strain into glass and serve.
Bailey's Dream Shake,Alcoholic,Soft Drink / Soda,Collins glass,Bailey's irish cream Vanilla ice-cream Cream            ,Blend ingredients for 30 seconds. Definitely refreshing for a hot summer's day !
Balmoral,Alcoholic,Ordinary Drink,Cocktail glass,Scotch Sweet Vermouth Dry Vermouth Bitters           ,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
Banana Cantaloupe Smoothie,Non alcoholic,Other/Unknown,Highball Glass,Cantaloupe Banana             ,"Juice cantaloupe, pour juice into blender, add banana, and liquify."
Banana Daiquiri,Alcoholic,Ordinary Drink,Champagne flute,Light rum Triple sec Banana Lime juice Sugar Cherry         ,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
Banana Milk Shake,Non alcoholic,Milk / Float / Shake,White wine glass,Milk Orange juice Sugar syrup Banana           ,"Blend very well, preferably in a household mixer. Serve in a wine glass, garnish with whipped cream and a piece of banana."
Banana Strawberry Shake,Non alcoholic,Milk / Float / Shake,Highball Glass,Strawberries Banana Yoghurt Milk Honey          ,Blend all together in a blender until smooth.
Banana Strawberry Shake Daiquiri-type,Non alcoholic,Milk / Float / Shake,Cocktail Glass,Strawberries Banana Apple juice            ,Blend all together in a blender until smooth.
Barracuda,Alcoholic,Ordinary Drink,Margarita glass,Rum Galliano Pineapple Juice Lime Juice Prosecco          ,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine."
Belgian Blue,Alcoholic,Soft Drink / Soda,Highball glass,Vodka Coconut liqueur Blue Curacao Sprite           ,Just pour all ingredients in the glass and stir...
Bellini,Alcoholic,Ordinary Drink,Champagne Flute,Champagne Peach schnapps             ,"Pour peach purée into chilled flute, add sparkling wine. Stir gently."
Bellini Martini,Alcoholic,Ordinary Drink,Cocktail glass,Ice Vodka Peach nectar Peach schnapps Lemon peel          ,"Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel."
Bermuda Highball,Alcoholic,Ordinary Drink,Highball glass,Brandy Gin Dry Vermouth Carbonated water Lemon peel          ,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)"
Berry Deadly,Alcoholic,Punch / Party Drink,Collins Glass,Everclear Wine Orange juice Kool-Aid           ,Add all ingredients to large bowl. Stir gently. Serve chilled.
