strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strMeasure1,strIngredient2,strMeasure2,strIngredient3,strMeasure3,strIngredient4,strMeasure4,strIngredient5,strMeasure5,strIngredient6,strMeasure6,strIngredient7,strMeasure7,strIngredient8,strMeasure8,strIngredient9,strMeasure9,strIngredient10,strMeasure10,strIngredient11,strMeasure11,strIngredient12,strMeasure12,strIngredient13,strMeasure13,strIngredient14,strMeasure14,strIngredient15,strMeasure15,strInstructions
50/50,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,Collins Glass,Vanilla vodka,2 1/2 oz ,Grand Marnier,1 splash ,Orange juice,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.
501 Blue,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,Collins Glass,Blue Curacao,"
",Blueberry schnapps,"
",Vodka,"
",Sour mix,"
",7-Up,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,Mix equal amounts into a glass with ice.
69 Special,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,Collins Glass,Gin,2 oz dry ,7-Up,4 oz ,Lemon juice,0.75 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up."
747,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,Shot glass,Kahlua,1/3 part ,Bailey's irish cream,1/3 part ,Frangelico,1/3 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!"
9 1/2 Weeks,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Cocktail glass,Absolut Citron,2 oz ,Orange Curacao,1/2 oz ,Strawberry liqueur,1 splash ,Orange juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
A Day at the Beach,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,Highball glass,Coconut rum,1 oz ,Amaretto,1/2 oz ,Orange juice,4 oz ,Grenadine,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry."
A Furlong Too Late,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,Highball glass,Light rum,2 oz ,Ginger beer,4 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
A Gilligan's Island,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,Collins glass,Vodka,1 oz ,Peach schnapps,1 oz ,Orange juice,3 oz ,Cranberry juice,3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Shaken, not stirred!"
A Night In Old Mandalay,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,Highball glass,Light rum,1 oz ,Añejo rum,1 oz ,Orange juice,1 oz ,Lemon juice,1/2 oz ,Ginger ale,3 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist."
A Piece of Ass,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,Highball glass,Amaretto,1 shot ,Southern Comfort,1 shot ,Ice," cubes
",Sour mix,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,Put ice in glass. Pour in shots. Fill with Sour Mix.
A Splash of Nash,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,Highball glass,Cranberry juice,2 oz ,Soda water,2 oz ,Midori melon liqueur,0.5 oz ,Creme de Banane,0.5 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.
A True Amaretto Sour,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,Old-fashioned glass,Amaretto,1 jigger ,Lemon,Juice of 1/2 ,Ice,"
",Maraschino cherry, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry."
A midsummernight dream,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,Collins Glass,Vodka,2 oz ,Kirschwasser,1 oz ,Strawberry liqueur,1 tsp ,Strawberries,5,Schweppes Russchian,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water"
A. J.,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,Cocktail glass,Applejack,1 1/2 oz ,Grapefruit juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Shake ingredients with ice, strain into a cocktail glass, and serve."
A.D.M. (After Dinner Mint),Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,Irish coffee cup,White Creme de Menthe,1/2 oz ,Southern Comfort,3/4 oz ,Vodka,1/2 oz ,Hot chocolate,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,shake vigorously
A1,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Cocktail glass,Gin,1 3/4 shot ,Grand Marnier,1 Shot ,Lemon Juice,1/4 Shot,Grenadine,1/8 Shot,,"
",,"
",,"
",,,,,,,,,,,,,,,,,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
ABC,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Shot glass,Amaretto,3-Jan,Bailey's irish cream,3-Jan,Cognac,3-Jan,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Layered in a shot glass.
ACID,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,Shot glass,151 proof rum,1 oz Bacardi ,Wild Turkey,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.
AT&T,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Highball Glass,Absolut Vodka,1 oz ,Gin,1 oz ,Tonic water,4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Pour Vodka and Gin over ice, add Tonic and Stir"
Abbey Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,Cocktail glass,Gin,1 1/2 oz ,Orange bitters,1 dash ,Orange,Juice of 1/4 ,Cherry,1,, ,, ,, ,, ,, ,,,,,,,,,,,,,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
Abbey Martini,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,Cocktail glass,Gin,2 shots ,Sweet Vermouth,1 shot ,Orange Juice,1 shot ,Angostura Bitters,3 dashes ,,"
",,"
",,"
",,,,,,,,,,,,,,,,,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass."
Abilene,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,Highball glass,Dark rum,1 1/2 oz ,Peach nectar,2 oz ,Orange juice,3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.
Absinthe #2,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,Jar,Vodka,1 bottle ,Sugar,50 gr ,Anise,50 ml pure ,Licorice root,1 tblsp ,Wormwood,1,, ,, ,, ,, ,, ,,,,,,,,,,,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy."
Absolut Evergreen,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,Collins Glass,Absolut Citron,2/3 part ,Pisang Ambon,1/3 part ,Ice," cubes
",Bitter lemon,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,"Mix, pour over ice and top up with Bitter Lemon."
Absolut Sex,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,Old-fashioned glass,Absolut Kurant,3/4 oz ,Midori melon liqueur,3/4 oz ,Cranberry juice,1 oz ,Sprite,1 splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex."
Absolut Stress #2,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,Collins Glass,Absolut Vodka,1 1/2 oz ,Peach schnapps,1/2 oz ,Coconut liqueur,1/2 oz ,Cranberry juice,1 1/2 oz ,Pineapple juice,1 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,Mix well. Garnish with Orange and Cherry. Enjoy
Absolut Summertime,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,Collins glass,Absolut Citron,1 1/2 oz ,Sweet and sour,3/4 oz ,Sprite,1/2 oz ,Soda water,3 oz ,Lemon,1 slice ,, ,, ,, ,, ,, ,,,,,,,,,,,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.
Absolut limousine,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,Collins Glass,Absolut Citron,3-Feb,Lime juice,3-Jan,Ice,Fill with ,Tonic water,Top it up with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.
Absolutely Cranberry Smash,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,Cocktail glass,Absolut Vodka,2 oz ,Cranberry juice,4 oz ,Ginger ale,2 oz ,Ice,Add ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Stir ingredients together. Serve over ice.
Absolutely Fabulous,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Champagne flute,Vodka,1 shot ,Cranberry Juice,2 shots ,Champagne,Top up with,,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.
Absolutly Screwed Up,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,Collins glass,Absolut Citron,1 shot ,Orange juice,1 shot ,Triple sec,1 shot ,Ginger ale,Fill to top ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night."
Acapulco,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,Old-fashioned glass,Light rum,1 1/2 oz ,Triple sec,1 1/2 tsp ,Lime juice,1 tblsp ,Sugar,1 tsp ,Egg white,1,Mint,1,, ,, ,, ,, ,, ,,,,,,,,,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.
Ace,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Martini Glass,Gin,2 shots ,Grenadine,1/2 shot ,Heavy cream,1/2 shot ,Milk,1/2 shot ,Egg White,1/2 Fresh,,"
",,"
",,,,,,,,,,,,,,,,,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.
Adam,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,Cocktail glass,Dark rum,2 oz ,Lemon juice,1 oz ,Grenadine,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Adam & Eve,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,Cocktail glass,Gin,1 shot ,Cognac,1 shot ,Creme de Cassis,1 shot ,Fresh Lemon Juice,1/8 shot ,,,,,,,,,,,,,,,,,,,,,,,Shake together all the ingredients and strain into a cold glass.
Adam Bomb,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,Margarita/Coupette glass,Rum,1 part ,Vodka,1 part ,Tequila,1 part ,Triple sec,1/2 part ,Fruit,"
",Ice,"
",Salt,1-3 pint ,Fruit juice, ,, ,, ,, ,, ,,,,,,,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice."
Adam Sunrise,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,Collins Glass,Vodka,2-Jan,Lemonade,1/2 can ,Water,2-Jan,Sugar,10 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds."
Addington,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,Cocktail glass,Sweet Vermouth,2 shots ,Dry Vermouth,1 shot ,Soda Water,"Top up with
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. 
Addison,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Martini Glass,Gin,1 1/2 shot ,Vermouth,1 1/2 shot ,,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,,Shake together all the ingredients and strain into a cold glass.
Addison Special,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,Old-fashioned glass,Vodka,1 shot ,Grenadine,1 tblsp ,Orange juice,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.
Adios Amigos Cocktail,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,Martini Glass,Rum,1 shot ,Dry Vermouth,1/2 shot ,Cognac,1/2 shot ,Gin,1/2 shot ,Fresh Lime Juice,1/4 shot,Sugar Syrup,1/4 shot,Water,1/2 shot ,,,,,,,,,,,,,,,,,Shake together all the ingredients and strain into a cold glass.
Adonis Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,Cocktail glass,Sweet Vermouth,3/4 oz ,Sherry,1 1/2 oz dry ,Orange bitters,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve."
Affair,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg,Highball glass,Strawberry schnapps,2 oz ,Orange juice,2 oz ,Cranberry juice,2 oz ,Club soda,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve."
Affinity,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,Cocktail glass,Scotch,1 1/2 oz ,Sweet Vermouth,1 oz ,Dry Vermouth,1 oz ,Orange bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
After Dinner Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,Cocktail glass,Apricot brandy,1 oz ,Triple sec,1 oz ,Lime,Juice of 1 ,Lime,1,, ,, ,, ,, ,, ,,,,,,,,,,,,,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.
After Five,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,Shot glass,Peppermint schnapps,"
",Kahlua,"
",Bailey's irish cream,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled"
After Supper Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,Cocktail glass,Triple sec,1 oz ,Apricot brandy,1 oz ,Lemon juice,1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
After sex,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Highball glass,Vodka,2 cl ,Creme de Banane,1 cl ,Orange juice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar
Afterglow,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Highball Glass,Grenadine,1 part ,Orange juice,4 parts ,Pineapple juice,4 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Mix. Serve over ice.
Afternoon,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Collins Glass,Kahlua,1 cl ,Bailey's irish cream,1 cl ,Frangelico,1 1/2,Coffee,4 cl hot ,Cream,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly."
Alabama Slammer,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg,Highball glass,Southern Comfort,1 oz ,Amaretto,1 oz ,Sloe gin,1/2 oz ,Lemon juice,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve."
Alaska Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,Cocktail glass,Orange bitters,2 dashes ,Gin,1 1/2 oz ,Yellow Chartreuse,3/4 oz ,Lemon peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve."
Alexander,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Cocktail glass,Gin,1/2 oz ,Creme de Cacao,1/2 oz white ,Light cream,2 oz ,Nutmeg,,,,,,,,,,,,,,,,,,,,,,,,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
Alfie Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,Cocktail glass,Lemon vodka,1 1/2 oz ,Triple sec,1 dash ,Pineapple juice,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve."
Algonquin,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Cocktail glass,Blended whiskey,1 1/2 oz ,Dry Vermouth,1 oz ,Pineapple juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve."
Alice Cocktail,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,Cocktail glass,Grenadine,1 cl ,Orange juice,1 cl ,Pineapple juice,2 cl ,Cream,4 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Shake well, strain into a large cocktail glass."
Alice in Wonderland,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,Collins Glass,Amaretto,1 shot ,Grand Marnier,1 shot ,Southern Comfort,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Just mix the three ingredients one to one to one
Allegheny,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Cocktail glass,Dry Vermouth,1 oz ,Bourbon,1 oz ,Blackberry brandy,1 1/2 tsp ,Lemon juice,1 1/2 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.
Allies Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,Cocktail glass,Dry Vermouth,1 oz ,Gin,1 oz ,Kummel,1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve."
Almeria,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Cocktail glass,Dark rum,2 oz ,Kahlua,1 oz ,Egg white,1,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Almond Chocolate Coffee,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,Coffee mug,Amaretto,3/4 oz ,Dark Creme de Cacao,1/2 oz ,Coffee,8 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.
Almond Joy,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,Cocktail glass,Amaretto,1/2 oz ,Creme de Cacao,1/2 oz white ,Light cream,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
